,NAME,Player,Team,W,ERA,IP,HR,BB,SO,AVG,WHIP,NP,half_inning,NP_over_IP,SO_over_IP,BB_over_IP,RANK,TEAM,POS,SALARY,YEARS,TOTAL.VALUE,AVG.ANNUAL
1,"Abad, F"," Abad, F",BOS,1,3.66,46.66666667,4,22,41,0.23,1.33,784,0.666666667,16.8,0.878571429,0.471428571,210,MIN,RP,"$1,250,000 ",1 (2016),"$1,250,000 ","$1,250,000 "
2,"Albers, M"," Albers, M",CWS,2,6.31,51.33333333,10,19,30,0.321,1.68,891,0.333333333,17.35714286,0.584415584,0.37012987,174,CWS,RP,"$2,000,000 ",1 (2016),"$2,000,000 ","$2,000,000 "
3,"Allen, C"," Allen, C",CLE,3,2.51,68,8,27,87,0.177,1,1133,0,16.66176471,1.279411765,0.397058824,122,CLE,RP,"$4,150,000 ",1 (2016),"$4,150,000 ","$4,150,000 "
4,"Alvarez, J"," Alvarez, J",LAA,1,3.45,57.33333333,4,15,51,0.298,1.5,930,0.333333333,16.22093023,0.889534884,0.261627907,402,LAA,RP,"$507,500 ",1 (2016),"$507,500 ","$507,500 "
5,"Anderson, C"," Anderson, C",CLE,2,6.68,60.66666667,13,13,54,0.333,1.62,996,0.666666667,16.41758242,0.89010989,0.214285714,362,CLE,SP,"$511,400 ",1 (2016),"$511,400 ","$511,400 "
6,"Anderson, C"," Anderson, C",CLE,2,6.68,60.66666667,13,13,54,0.333,1.62,996,0.666666667,16.41758242,0.89010989,0.214285714,300,MIL,SP,"$520,200 ",1 (2016),"$520,200 ","$520,200 "
7,"Anderson, C"," Anderson, C",MIL,9,4.39,151.6666667,28,53,120,0.266,1.37,2639,0.666666667,17.4,0.791208791,0.349450549,362,CLE,SP,"$511,400 ",1 (2016),"$511,400 ","$511,400 "
8,"Anderson, C"," Anderson, C",MIL,9,4.39,151.6666667,28,53,120,0.266,1.37,2639,0.666666667,17.4,0.791208791,0.349450549,300,MIL,SP,"$520,200 ",1 (2016),"$520,200 ","$520,200 "
9,"Anderson, T"," Anderson, T",COL,5,3.54,114.3333333,12,28,99,0.272,1.29,1793,0.333333333,15.68221574,0.865889213,0.244897959,379,COL,SP,"$509,500 ",1 (2016),"$509,500 ","$509,500 "
10,"Archer, C"," Archer, C",TB,9,4.02,201.3333333,30,67,233,0.238,1.24,3409,0.333333333,16.93211921,1.157284768,0.332781457,154,TB,SP,"$2,916,667 ",6 (2014-19),"$25,500,000 ","$4,250,000 "
11,"Arrieta, J"," Arrieta, J",CHC,18,3.1,197.3333333,16,76,190,0.194,1.08,3124,0.333333333,15.83108108,0.962837838,0.385135135,46,CHC,SP,"$10,700,000 ",1 (2016),"$10,700,000 ","$10,700,000 "
12,"Axford, J"," Axford, J",OAK,6,3.97,65.66666667,6,30,60,0.258,1.45,1194,0.666666667,18.18274112,0.913705584,0.456852792,110,OAK,RP,"$4,500,000 ",2 (2016-17),"$10,000,000 ","$5,000,000 "
13,"Baez, P"," Baez, P",LAD,3,3.04,74,11,22,83,0.195,1,1178,0,15.91891892,1.121621622,0.297297297,301,LAD,RP,"$520,000 ",1 (2016),"$520,000 ","$520,000 "
14,"Barnes, M"," Barnes, M",BOS,4,4.05,66.66666667,6,31,71,0.248,1.4,1195,0.666666667,17.925,1.065,0.465,364,BOS,RP,"$511,000 ",1 (2016),"$511,000 ","$511,000 "
15,"Barnette, T"," Barnette, T",TEX,7,2.09,60.33333333,4,16,49,0.242,1.16,921,0.333333333,15.26519337,0.812154696,0.26519337,193,TEX,RP,"$1,500,000 ",2 (2016-17),"$3,500,000 ","$1,750,000 "
16,"Barrett, J"," Barrett, J",ARI,1,3.49,59.33333333,6,28,56,0.218,1.26,954,0.333333333,16.07865169,0.943820225,0.471910112,402,ARI,RP,"$507,500 ",1 (2016),"$507,500 ","$507,500 "
17,"Bastardo, A"," Bastardo, A",PIT,3,4.52,67.66666667,11,32,74,0.234,1.36,1223,0.666666667,18.07389163,1.093596059,0.472906404,100,NYM,RP,"$5,375,000 ",2 (2016-17),"$12,000,000 ","$6,000,000 "
18,"Bauer, T"," Bauer, T",CLE,12,4.26,190,20,70,168,0.248,1.31,3092,0,16.27368421,0.884210526,0.368421053,187,CLE,SP,"$1,697,500 ",1 (2016),"$1,697,500 ","$1,697,500 "
19,"Bedrosian, C"," Bedrosian, C",LAA,2,1.12,40.33333333,1,14,51,0.207,1.09,655,0.333333333,16.23966942,1.26446281,0.347107438,366,LAA,RP,"$510,500 ",1 (2016),"$510,500 ","$510,500 "
20,"Belisle, M"," Belisle, M",WSH,0,1.76,46,2,7,32,0.244,1.09,671,0,14.58695652,0.695652174,0.152173913,210,WSH,RP,"$1,250,000 ",1 (2016),"$1,250,000 ","$1,250,000 "
21,"Benoit, J"," Benoit, J",TOR,3,2.81,48,5,24,52,0.21,1.27,836,0,17.41666667,1.083333333,0.5,70,SEA,RP,"$7,500,000 ",1 (2016),"$7,500,000 ","$7,500,000 "
22,"Betances, D"," Betances, D",NYY,3,3.08,73,5,28,126,0.201,1.12,1250,0,17.12328767,1.726027397,0.383561644,402,NYY,RP,"$507,500 ",1 (2016),"$507,500 ","$507,500 "
23,"Bettis, C"," Bettis, C",COL,14,4.79,186,22,59,138,0.278,1.41,3055,0,16.42473118,0.741935484,0.317204301,347,COL,SP,"$512,500 ",1 (2016),"$512,500 ","$512,500 "
24,"Biagini, J"," Biagini, J",TOR,4,3.06,67.66666667,3,19,62,0.259,1.3,1117,0.666666667,16.50738916,0.916256158,0.280788177,402,TOR,RP,"$507,500 ",1 (2016),"$507,500 ","$507,500 "
25,"Blanton, J"," Blanton, J",LAD,7,2.48,80,7,26,80,0.194,1.01,1278,0,15.975,1,0.325,125,LAD,RP,"$4,000,000 ",1 (2016),"$4,000,000 ","$4,000,000 "
26,"Blazek, M"," Blazek, M",MIL,3,5.66,41.33333333,7,27,36,0.311,1.91,818,0.333333333,19.79032258,0.870967742,0.653225806,342,MIL,RP,"$514,200 ",1 (2016),"$514,200 ","$514,200 "
27,"Blevins, J"," Blevins, J",NYM,4,2.79,42,4,15,52,0.229,1.21,728,0,17.33333333,1.238095238,0.357142857,125,NYM,RP,"$4,000,000 ",1 (2016),"$4,000,000 ","$4,000,000 "
28,"Bowman, M"," Bowman, M",STL,2,3.46,67.66666667,4,20,52,0.229,1.17,1060,0.666666667,15.66502463,0.768472906,0.295566502,402,STL,SP,"$507,500 ",1 (2016),"$507,500 ","$507,500 "
29,"Boyer, B"," Boyer, B",MIL,2,3.95,66,4,17,26,0.305,1.47,1052,0,15.93939394,0.393939394,0.257575758,229,MIL,RP,"$950,000 ",1 (2016),"$950,000 ","$950,000 "
30,"Brach, B"," Brach, B",BAL,10,2.05,79,7,25,92,0.201,1.04,1295,0,16.39240506,1.164556962,0.316455696,210,BAL,RP,"$1,250,000 ",1 (2016),"$1,250,000 ","$1,250,000 "
31,"Britton, Z"," Britton, Z",BAL,2,0.54,67,1,18,74,0.162,0.84,1027,0,15.32835821,1.104477612,0.268656716,80,BAL,RP,"$6,750,000 ",1 (2016),"$6,750,000 ","$6,750,000 "
32,"Broxton, J"," Broxton, J",STL,4,4.3,60.66666667,7,24,57,0.229,1.25,1002,0.666666667,16.51648352,0.93956044,0.395604396,135,STL,RP,"$3,750,000 ",2 (2016-17),"$7,500,000 ","$3,750,000 "
